analysis_type,seed,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
fixed_global_sweep,44,0.275,191,0.7380952380952381,0.38317757009345793,0.484375,0.5849056603773585,0.7160102358700491,0.5392670157068062,0.560636404094348,41,66,22,62,"41,66,22,62"
fixed_global_sweep,45,0.275,191,0.7142857142857143,0.3925233644859813,0.48,0.5741626794258373,0.7251335113484646,0.5340314136125655,0.5534045393858478,42,65,24,60,"42,65,24,60"
fixed_global_sweep,46,0.275,191,0.7023809523809523,0.32710280373831774,0.45038167938931295,0.5488372093023256,0.6668891855807743,0.49214659685863876,0.514741878059635,35,72,25,59,"35,72,25,59"
fixed_global_sweep,42,0.25,191,0.7619047619047619,0.3177570093457944,0.46715328467153283,0.579185520361991,0.7170672007120606,0.5130890052356021,0.5398308856252781,34,73,20,64,"34,73,20,64"
fixed_global_sweep,43,0.25,191,0.7261904761904762,0.35514018691588783,0.46923076923076923,0.5700934579439252,0.6991544281263908,0.518324607329843,0.540665331553182,38,69,23,61,"38,69,23,61"
fixed_global_sweep,44,0.25,191,0.75,0.3644859813084112,0.48091603053435117,0.586046511627907,0.7180685358255452,0.5340314136125655,0.5572429906542056,39,68,21,63,"39,68,21,63"
fixed_global_sweep,45,0.25,191,0.7142857142857143,0.38317757009345793,0.47619047619047616,0.5714285714285714,0.7155651980418335,0.5287958115183246,0.5487316421895861,41,66,24,60,"41,66,24,60"
fixed_global_sweep,46,0.25,191,0.7142857142857143,0.3177570093457944,0.45112781954887216,0.5529953917050692,0.6741210502892746,0.49214659685863876,0.5160213618157543,34,73,24,60,"34,73,24,60"
fixed_global_sweep,42,0.225,191,0.7857142857142857,0.3177570093457944,0.4748201438848921,0.5919282511210763,0.72702492211838,0.5235602094240838,0.55173564753004,34,73,18,66,"34,73,18,66"
fixed_global_sweep,43,0.225,191,0.7261904761904762,0.34579439252336447,0.46564885496183206,0.5674418604651162,0.6943146417445483,0.5130890052356021,0.5359924343569203,37,70,23,61,"37,70,23,61"
fixed_global_sweep,44,0.225,191,0.75,0.34579439252336447,0.47368421052631576,0.5806451612903226,0.7179572763684913,0.5235602094240838,0.5478971962616822,37,70,21,63,"37,70,21,63"
fixed_global_sweep,45,0.225,191,0.7142857142857143,0.38317757009345793,0.47619047619047616,0.5714285714285714,0.708611481975968,0.5287958115183246,0.5487316421895861,41,66,24,60,"41,66,24,60"
fixed_global_sweep,46,0.225,191,0.7261904761904762,0.308411214953271,0.45185185185185184,0.5570776255707762,0.6827992879394748,0.49214659685863876,0.5173008455718736,33,74,23,61,"33,74,23,61"
fixed_global_sweep,42,0.2,191,0.7976190476190477,0.3177570093457944,0.4785714285714286,0.5982142857142857,0.7365376056964841,0.5287958115183246,0.557688028482421,34,73,17,67,"34,73,17,67"
fixed_global_sweep,43,0.2,191,0.7380952380952381,0.34579439252336447,0.4696969696969697,0.5740740740740741,0.706330663106364,0.518324607329843,0.5419448153093013,37,70,22,62,"37,70,22,62"
fixed_global_sweep,44,0.2,191,0.7619047619047619,0.3364485981308411,0.4740740740740741,0.5844748858447488,0.7178460169114375,0.5235602094240838,0.5491766800178015,36,71,20,64,"36,71,20,64"
fixed_global_sweep,45,0.2,191,0.7142857142857143,0.37383177570093457,0.47244094488188976,0.5687203791469194,0.7018802848242102,0.5235602094240838,0.5440587449933244,40,67,24,60,"40,67,24,60"
fixed_global_sweep,46,0.2,191,0.7261904761904762,0.29906542056074764,0.4485294117647059,0.5545454545454546,0.6785714285714285,0.4869109947643979,0.5126279483756119,32,75,23,61,"32,75,23,61"
train_selected_threshold,42,0.5,191,0.7023809523809523,0.6635514018691588,0.6210526315789474,0.659217877094972,0.7001001335113485,0.680628272251309,0.6829661771250556,71,36,25,59,"71,36,25,59"
train_selected_threshold,43,0.5,191,0.6785714285714286,0.7102803738317757,0.6477272727272727,0.6627906976744186,0.7027703604806408,0.6963350785340314,0.6944259012016021,76,31,27,57,"76,31,27,57"
train_selected_threshold,44,0.5,191,0.6309523809523809,0.6542056074766355,0.5888888888888889,0.6091954022988506,0.6862483311081442,0.643979057591623,0.6425789942145081,70,37,31,53,"70,37,31,53"
train_selected_threshold,45,0.5,191,0.6547619047619048,0.6915887850467289,0.625,0.6395348837209303,0.7003226524254562,0.675392670157068,0.6731753449043169,74,33,29,55,"74,33,29,55"
train_selected_threshold,46,0.5,191,0.6309523809523809,0.6822429906542056,0.6091954022988506,0.6198830409356725,0.6582109479305741,0.6596858638743456,0.6565976858032933,73,34,31,53,"73,34,31,53"
