analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,45,2,0.275,38,0.8181818181818182,0.5,0.6923076923076923,0.75,0.8792613636363636,0.6842105263157895,0.6590909090909092,8,8,4,18,"8,8,4,18",,,,,
fixed_global_sweep,45,3,0.275,39,0.5,0.4,0.3181818181818182,0.3888888888888889,0.5785714285714285,0.4358974358974359,0.45,10,15,7,7,"10,15,7,7",,,,,
fixed_global_sweep,45,4,0.275,38,0.8333333333333334,0.35,0.5357142857142857,0.6521739130434783,0.7333333333333333,0.5789473684210527,0.5916666666666667,7,13,3,15,"7,13,3,15",,,,,
fixed_global_sweep,45,5,0.275,38,0.631578947368421,0.2631578947368421,0.46153846153846156,0.5333333333333333,0.6385041551246537,0.4473684210526316,0.4473684210526315,5,14,7,12,"5,14,7,12",,,,,
fixed_global_sweep,46,1,0.275,38,0.6470588235294118,0.3333333333333333,0.44,0.5238095238095238,0.6526610644257703,0.47368421052631576,0.4901960784313726,7,14,6,11,"7,14,6,11",,,,,
fixed_global_sweep,46,2,0.275,37,0.8571428571428571,0.21739130434782608,0.4,0.5454545454545454,0.7795031055900621,0.4594594594594595,0.5372670807453416,5,18,2,12,"5,18,2,12",,,,,
fixed_global_sweep,46,3,0.275,39,0.7222222222222222,0.047619047619047616,0.3939393939393939,0.5098039215686274,0.6455026455026455,0.358974358974359,0.3849206349206349,1,20,5,13,"1,20,5,13",,,,,
fixed_global_sweep,46,4,0.275,38,0.8235294117647058,0.3333333333333333,0.5,0.6222222222222222,0.6666666666666667,0.5526315789473685,0.5784313725490196,7,14,3,14,"7,14,3,14",,,,,
fixed_global_sweep,46,5,0.275,39,0.5,0.7142857142857143,0.6,0.5454545454545454,0.6666666666666666,0.6153846153846154,0.6071428571428572,15,6,9,9,"15,6,9,9",,,,,
fixed_global_sweep,42,1,0.25,38,0.8,0.34782608695652173,0.4444444444444444,0.5714285714285714,0.773913043478261,0.5263157894736842,0.5739130434782609,8,15,3,12,"8,15,3,12",,,,,
fixed_global_sweep,42,2,0.25,38,0.7857142857142857,0.20833333333333334,0.36666666666666664,0.5,0.7142857142857142,0.42105263157894735,0.49702380952380953,5,19,3,11,"5,19,3,11",,,,,
fixed_global_sweep,42,3,0.25,38,0.8636363636363636,0.4375,0.6785714285714286,0.76,0.8522727272727273,0.6842105263157895,0.6505681818181819,7,9,3,19,"7,9,3,19",,,,,
fixed_global_sweep,42,4,0.25,39,0.75,0.2608695652173913,0.41379310344827586,0.5333333333333333,0.6630434782608696,0.46153846153846156,0.5054347826086957,6,17,4,12,"6,17,4,12",,,,,
fixed_global_sweep,42,5,0.25,38,0.5882352941176471,0.38095238095238093,0.43478260869565216,0.5,0.603641456582633,0.47368421052631576,0.484593837535014,8,13,7,10,"8,13,7,10",,,,,
fixed_global_sweep,43,1,0.25,38,1.0,0.21428571428571427,0.3125,0.47619047619047616,0.8071428571428572,0.42105263157894735,0.6071428571428571,6,22,0,10,"6,22,0,10",,,,,
